instnm,State abbreviation (HD2014),Geographic region (HD2014),Level of institution (HD2014),Degree-granting status (HD2014),Total price for out-of-state students living on campus 2014-15 (DRVIC2014),Total price for in-state students living on campus 2014-15 (DRVIC2014),Total  enrollment (DRVEF2014),Number of students receiving a Doctor's degree (DRVC2014),Number of students receiving a Master's degree (DRVC2014),Number of students receiving a Bachelor's degree (DRVC2014),Percent admitted - total (DRVIC2013_RV),Admissions yield - total (DRVIC2013_RV),Percent admitted - men (DRVIC2013_RV),Percent admitted - women (DRVIC2013_RV)
Virginia College-Huntsville,AL,5,1,1,,,597,0,0,19,,,,
Virginia College-Jackson,MS,5,2,1,,,395,,,,,,,
Virginia College-Jacksonville,FL,5,2,1,,,687,,,,,,,
Virginia College-Knoxville,TN,5,1,1,,,581,0,0,0,,,,
Virginia College-Lubbock,TX,6,2,1,,,167,,,,,,,
Virginia College-Macon,GA,5,2,1,,,433,,,,,,,
Virginia College-Mobile,AL,5,2,1,,,575,,,,,,,
Virginia College-Montgomery,AL,5,2,1,,,622,,,,100,67,100,100
Virginia College-Pensacola,FL,5,2,1,,,384,,,,,,,
Virginia College-Richmond,VA,5,2,1,,,446,,,,,,,
Virginia College-Savannah,GA,5,1,1,,,516,0,0,0,,,,
Virginia College-School of Business and Health-Chattanooga,TN,5,2,1,,,345,,,,,,,
Virginia College-Shreveport Bossier City,LA,5,2,1,,,357,,,,,,,
Virginia College-Spartanburg,SC,5,1,1,,,413,0,0,0,,,,
Virginia College-Tulsa,OK,6,1,1,,,39,0,0,0,,,,
Virginia Commonwealth University,VA,5,1,1,47104,29043,30848,742,1601,4557,69,36,69,69
Virginia Highlands Community College,VA,5,2,1,,,2505,,,,,,,
Virginia Marti College of Art and Design,OH,3,2,1,,,166,,,,81,67,80,81
Virginia Military Institute,VA,5,1,1,49096,27040,1700,0,0,372,47,53,46,62
Virginia Polytechnic Institute and State University,VA,5,1,1,41868,25837,31224,590,1556,5441,70,40,68,74
Virginia School of Hair Design,VA,5,3,2,,,87,,,,,,,
Virginia School of Massage,VA,5,3,2,,,68,,,,,,,
Virginia Sewing Machines and School Center,CA,8,3,2,,,106,,,,,,,
Virginia State University,VA,5,1,1,30941,21105,5025,8,151,793,95,23,93,96
Virginia Tech Carilion School of Medicine,VA,5,1,1,,,167,40,0,0,,,,
Virginia Union University,VA,5,1,1,28140,28140,1715,9,119,228,58,16,43,78
Virginia University of Lynchburg,VA,5,1,1,22657,22657,324,4,11,24,,,,
Virginia Wesleyan College,VA,5,1,1,46580,46580,1501,0,0,230,93,13,92,93
Virginia Western Community College,VA,5,2,1,,,8632,,,,,,,
Visible Music College,TN,5,1,1,30100,30100,112,0,0,23,55,100,68,25
Visions in Hair Design Institute of Cosmetology,WI,3,2,2,,,,,,,,,,
Vista College,TX,6,2,1,,,2951,,,,,,,
Vista College-Online,UT,7,1,1,,,266,0,0,0,,,,
Viterbo University,WI,3,1,1,35230,35230,2804,0,243,411,71,25,59,76
Vogue Beauty and Barber School,GA,5,3,2,,,134,,,,,,,
Vogue College of Cosmetology,TX,6,3,2,,,116,,,,,,,
Vogue College of Cosmetology-McAllen,TX,6,3,2,,,198,,,,,,,
Vogue College of Cosmetology-San Antonio Fredericksburg,TX,6,3,2,,,116,,,,,,,
Vogue College of Cosmetology-Santa Fe,NM,6,3,2,,,72,,,,,,,
Volunteer Beauty Academy-Dyersburg,TN,5,3,2,,,57,,,,,,,
Volunteer Beauty Academy-Madison,TN,5,3,2,,,27,,,,,,,
Volunteer Beauty Academy-Nashville,TN,5,3,2,,,45,,,,,,,
Volunteer Beauty Academy-System Office,TN,5,3,2,,,,,,,,,,
Volunteer State Community College,TN,5,2,1,,,7664,,,,,,,
Voorhees College,SC,5,1,1,24486,24486,468,0,0,117,51,11,47,53
W Academy of Salon and Spa,CA,8,3,2,,,40,,,,,,,
W F Kaynor Technical High School,CT,1,3,2,,,38,,,,72,100,88,70
W L Bonner College,SC,5,1,1,10664,10664,29,0,0,0,,,,
Wabash College,IN,3,1,1,49380,49380,926,0,0,172,70,31,70,
Wabash Valley College,IL,3,2,1,,,4240,,,,,,,
Wade College,TX,6,1,1,,,207,0,0,33,,,,
Wade Gordon Hairdressing Academy,TX,6,3,2,,,97,,,,,,,
Wagner College,NY,2,1,1,56287,56287,2231,0,196,458,70,21,64,73
Wake Forest University,NC,5,1,1,62538,62538,7788,357,739,1153,35,31,36,35
Wake Technical Community College,NC,5,2,1,,,21384,,,,,,,
Walden University,MN,4,1,1,,,52188,1038,7303,1457,,,,
Waldorf College,IA,4,1,1,31630,31630,1426,0,0,233,51,34,46,58
Walla Walla Community College,WA,8,2,1,,,4851,,,,,,,
Walla Walla University,WA,8,1,1,36507,36507,1887,0,131,280,93,40,91,94
Walsh College of Accountancy and Business Administration,MI,3,1,1,,,2753,3,483,337,,,,
Walsh University,OH,3,1,1,40673,40673,2919,33,128,472,77,39,69,84
Walters State Community College,TN,5,2,1,,,6005,,,,100,37,100,100
Walton Career Development Center,FL,5,2,2,,,115,,,,,,,
Wards Corner Beauty Academy-Norfolk,VA,5,3,2,,,113,,,,,,,
Wards Corner Beauty Academy-Virginia Beach,VA,5,3,2,,,73,,,,,,,
Warner Pacific College,OR,8,1,1,32832,32832,554,0,0,102,53,17,51,53
Warner Pacific College Adult Degree Program,OR,8,1,1,,,733,0,55,300,,,,
Warner University,FL,5,1,1,30645,30645,1161,0,31,188,34,42,30,42
Warren County Career Center,OH,3,2,2,,,263,,,,,,,
Warren County Community College,NJ,2,2,1,,,2573,,,,,,,
Warren Wilson College,NC,5,1,1,44852,44852,890,0,24,168,70,26,66,71
Warrensburg Area Career Center,MO,4,3,2,,,39,,,,,,,
Wartburg College,IA,4,1,1,47440,47440,1661,0,0,382,78,26,75,80
Wartburg Theological Seminary,IA,4,1,1,,,123,0,30,0,,,,
Washburn Institute of Technology,KS,4,3,2,,,1217,,,,79,77,82,73
Washburn University,KS,4,1,1,25305,17817,6722,116,133,809,,,,
Washington & Jefferson College,PA,2,1,1,53648,53648,1362,0,0,307,40,11,40,40
Washington Adventist University,MD,2,1,1,31895,31895,1057,0,106,251,33,28,34,32
Washington and Lee University,VA,5,1,1,60084,60084,2264,127,1,425,18,42,19,18
Washington Barber College Inc,AR,5,3,2,,,81,,,,,,,
Washington College,MD,2,1,1,56352,56352,1485,0,11,338,67,11,66,67
Washington County Adult Skill Center,VA,5,3,2,,,89,,,,,,,
Washington County Career Center-Adult Technical Training,OH,3,2,2,,,300,,,,,,,
Washington County Community College,ME,1,2,1,14373,10945,491,,,,,,,
Washington Hospital School of Nursing,PA,2,2,2,,,68,,,,25,71,67,14
Washington Hospital School of Radiography,PA,2,2,2,,,21,,,,,,,
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,NY,2,3,2,,,30,,,,100,73,100,100
Washington State Community College,OH,3,2,1,,,1623,,,,,,,
Washington State University,WA,8,1,1,41288,28206,28686,438,731,4979,82,34,80,84
Washington University in St Louis,MO,4,1,1,66376,66376,14348,752,1485,1773,16,34,16,15
Washington-Holmes Technical Center,FL,5,2,2,,,210,,,,,,,
Washtenaw Community College,MI,3,2,1,,,12295,,,,,,,
Watkins College of Art Design & Film,TN,5,1,1,36340,36340,304,0,0,51,35,60,44,30
Watts School of Nursing,NC,5,2,2,,,138,,,,,,,
Waubonsee Community College,IL,3,2,1,,,10904,,,,,,,
Waukesha County Technical College,WI,3,2,1,,,8692,,,,,,,
Wayland Baptist University,TX,6,1,1,24646,24646,5536,0,581,1345,99,61,99,99
Wayne Community College,NC,5,2,1,,,3351,,,,,,,
Wayne County Community College District,MI,3,2,1,,,16310,,,,,,,
Wayne County Schools Career Center,OH,3,3,2,,,248,,,,,,,
Wayne Finger Lakes BOCES-Practical Nursing Program,NY,2,3,2,,,302,,,,47,90,50,47
Wayne State College,NE,4,1,1,20036,15836,3470,0,155,562,,,,
Wayne State University,MI,3,1,1,37118,24095,27578,802,1998,3005,76,25,78,75
Waynes College of Beauty,CA,8,3,2,,,34,,,,,,,
Waynesburg University,PA,2,1,1,32600,32600,2039,5,220,371,75,28,73,77
Waynesville Career Center,MO,4,3,2,,,54,,,,,,,
Weatherford College,TX,6,2,1,16391,14831,5613,,,,,,,
Webb Institute,NY,2,1,1,62905,62905,90,0,0,15,30,84,29,33
Webber International University,FL,5,1,1,38382,38382,732,0,30,116,64,34,62,71
Weber State University,UT,7,1,1,28090,19436,25954,0,271,2338,,,,
Webster University,MO,4,1,1,41622,41622,16769,8,5481,824,58,41,62,57
Weill Cornell Medical College,NY,2,1,1,,,1023,178,79,0,,,,
Welch College,TN,5,1,1,30692,30692,329,0,0,22,,,,
Welder Training and Testing Institute,PA,2,3,2,,,90,,,,,,,
Wellesley College,MA,1,1,1,61088,61088,2323,0,0,605,29,43,,29
Wells College,NY,2,1,1,51000,51000,550,0,0,108,60,12,58,60
WellSpring School of Allied Health-Kansas City,MO,4,2,1,,,133,,,,,,,
WellSpring School of Allied Health-Lawrence,KS,4,2,1,,,43,,,,,,,
Wenatchee Valley College,WA,8,2,1,14560,14166,3510,,,,,,,
Wentworth Institute of Technology,MA,1,1,1,49855,49855,4558,0,122,717,58,25,59,54
Wentworth Military Academy & Junior College,MO,4,2,1,32705,32705,780,,,,,,,
Wes Watkins Technology Center,OK,6,3,2,,,81,,,,,,,
Wesley Biblical Seminary,MS,5,1,1,,,51,0,13,0,,,,
Wesley College,DE,2,1,1,39190,39190,1615,0,42,156,62,30,63,62
Wesley Theological Seminary,DC,2,1,1,,,564,53,105,0,,,,
Wesleyan College,GA,5,1,1,32825,32825,711,0,47,98,43,35,,43
Wesleyan University,CT,1,1,1,64163,64163,3224,14,70,733,21,36,23,20
West Chester University of Pennsylvania,PA,2,1,1,36446,25996,16086,0,690,2966,52,33,50,52
West Coast Ultrasound Institute,CA,8,2,1,,,800,,,,,,,
West Coast University-Dallas,TX,6,1,1,,,428,0,0,32,50,0,50,50
West Coast University-Los Angeles,CA,8,1,1,,,1659,0,8,405,54,33,50,57
West Coast University-Miami,FL,5,1,1,,,46,0,0,0,,,,
West Coast University-Ontario,CA,8,1,1,,,1061,0,0,252,49,36,50,49
West Coast University-Orange County,CA,8,1,1,,,1477,0,0,413,53,17,53,53
West Georgia Technical College,GA,5,2,1,,,6536,,,,,,,
West Hills College-Coalinga,CA,8,2,1,21219,14109,2650,,,,,,,
West Hills College-Lemoore,CA,8,2,1,,,3976,,,,,,,
West Hills Community College District,CA,8,2,1,,,,,,,,,,
West Kentucky Community and Technical College,KY,5,2,1,,,6402,,,,,,,
West Liberty University,WV,5,1,1,27710,20585,2694,0,34,457,71,32,69,73
West Los Angeles College,CA,8,2,1,,,10641,,,,,,,
West Michigan College of Barbering and Beauty,MI,3,2,2,,,94,,,,,,,
West Shore Community College,MI,3,2,1,,,1330,,,,,,,
West Tennessee Business College,TN,5,2,1,,,211,,,,,,,
West Texas A & M University,TX,6,1,1,20456,19700,8972,3,390,1492,74,38,74,74
West Valley College,CA,8,2,1,,,9062,,,,,,,
West Valley Mission Community College District Office,CA,8,2,1,,,,,,,,,,
West Virginia Business College-Wheeling,WV,5,2,1,,,125,,,,,,,
West Virginia Junior College-Bridgeport,WV,5,2,1,,,188,,,,,,,
West Virginia Junior College-Charleston,WV,5,2,1,,,162,,,,,,,
West Virginia Junior College-Morgantown,WV,5,2,1,,,373,,,,,,,
West Virginia Northern Community College,WV,5,2,1,,,1923,,,,,,,
West Virginia School of Osteopathic Medicine,WV,5,1,1,,,815,184,0,0,,,,
West Virginia State University,WV,5,1,1,28249,19919,2884,0,17,397,45,42,43,46
West Virginia University,WV,5,1,1,32895,19613,29175,566,1515,4130,85,37,84,87
West Virginia University at Parkersburg,WV,5,1,1,,,2985,0,0,271,,,,
West Virginia University Hospital Departments of Rad Tech and Nutrition,WV,5,1,2,,,53,0,0,0,13,100,21,12
West Virginia University Institute of Technology,WV,5,1,1,27165,18021,1261,0,0,128,51,38,52,50
West Virginia Wesleyan College,WV,5,1,1,41748,41748,1511,0,51,238,77,35,74,80
Westchester School of Beauty Culture,NY,2,3,2,,,87,,,,,,,
Westech College,CA,8,3,2,,,456,,,,,,,
Western Area Career and Technology Center,PA,2,3,2,,,76,,,,100,86,100,100
Western Carolina University,NC,5,1,1,29370,18977,10382,42,522,1740,38,27,39,37
Western Connecticut State University,CT,1,1,1,35661,23926,5952,6,143,1065,65,34,62,68
Western Dakota Technical Institute,SD,4,2,1,,,840,,,,,,,
Western Governors University,UT,7,1,1,,,57821,0,4284,6312,,,,
Western Hills School of Beauty and Hair Design,OH,3,2,2,,,206,,,,,,,
Western Illinois University,IL,3,1,1,29550,25234,11458,6,604,2217,59,26,59,59
Western International University,AZ,6,1,1,,,1374,0,226,270,,,,
Western Iowa Tech Community College,IA,4,2,1,13410,13386,6399,,,,,,,
Western Kentucky University,KY,5,1,1,33356,19144,20171,23,904,2736,92,43,91,94
Western Michigan University,MI,3,1,1,37103,22871,23914,126,1308,3786,83,26,81,84
Western Nebraska Community College,NE,4,2,1,13553,13241,1836,,,,,,,
Western Nevada College,NV,8,1,1,,,3951,0,0,11,,,,
Western New England University,MA,1,1,1,49454,49454,3922,99,199,538,82,14,80,84
Western New Mexico University,NM,6,1,1,29486,21648,3557,0,150,195,,,,
Western Oklahoma State College,OK,6,2,1,18040,13976,1460,,,,,,,
Western Oregon University,OR,8,1,1,35847,22752,6049,0,181,919,88,41,85,90
Western Pennsylvania Hospital School of Nursing,PA,2,2,2,21394,21394,117,,,,13,86,10,14
Western Piedmont Community College,NC,5,2,1,,,2056,,,,,,,
Western Seminary,OR,8,1,1,,,743,16,140,0,,,,
Western State College of Law at Argosy University,CA,8,1,1,,,353,148,0,0,,,,
Western State Colorado University,CO,7,1,1,31297,20852,2584,0,60,393,93,34,91,95
Western Suffolk BOCES,NY,2,2,2,,,336,,,,,,,
Western Technical College,TX,6,2,1,,,990,,,,,,,
Western Technical College,WI,3,2,1,17044,15156,4130,,,,,,,
Western Technical College,TX,6,2,1,,,529,,,,,,,
Western Technology Center,OK,6,3,2,,,494,,,,,,,
Western Texas College,TX,6,2,1,13780,12898,2067,,,,,,,
Western Theological Seminary,MI,3,1,1,,,272,6,9,0,,,,
Western University of Health Sciences,CA,8,1,1,,,3842,712,224,0,,,,
Western Washington University,WA,8,1,1,34663,23221,15060,0,267,3132,84,35,81,86
Western Wyoming Community College,WY,7,2,1,12814,8830,3472,,,,,,,
Westfield State University,MA,1,1,1,27817,21737,6321,0,193,1251,75,33,72,77
WestMed College,CA,8,3,2,,,366,,,,,,,
Westminster College,PA,2,1,1,45820,45820,1307,0,11,329,73,12,70,76
Westminster College,MO,4,1,1,36160,36160,954,0,0,253,72,26,70,74
Westminster College,UT,7,1,1,43220,43220,2991,0,379,556,75,24,75,75
Westminster Theological Seminary,PA,2,1,1,,,560,17,98,0,,,,
Westminster Theological Seminary in California,CA,8,1,1,,,149,0,36,0,,,,
Westmont College,CA,8,1,1,55570,55570,1300,0,0,356,70,20,71,70
Westmoreland County Community College,PA,2,2,1,,,5638,,,,,,,
Westside Tech,FL,5,3,2,,,964,,,,,,,
Westwood College-Anaheim,CA,8,1,1,,,588,0,0,199,,,,
Westwood College-Annandale,VA,5,1,1,,,264,0,0,97,,,,
Westwood College-Arlington Ballston,VA,5,1,1,,,344,0,0,77,,,,
Westwood College-Atlanta Midtown,GA,5,1,1,,,419,0,0,91,,,,
Westwood College-Chicago Loop,IL,3,1,1,,,381,0,0,91,,,,
Westwood College-Denver North,CO,7,1,1,,,342,0,0,57,,,,
Westwood College-Denver South,CO,7,1,1,,,236,0,0,43,,,,
Westwood College-Dupage,IL,3,1,1,,,157,0,0,71,,,,
Westwood College-Inland Empire,CA,8,1,1,,,829,0,0,210,,,,
Westwood College-Los Angeles,CA,8,1,1,,,1805,0,40,552,,,,
Westwood College-Northlake,GA,5,1,1,,,376,0,0,58,,,,
Westwood College-O'Hare Airport,IL,3,1,1,,,311,0,0,108,,,,
Westwood College-River Oaks,IL,3,1,1,,,269,0,0,53,,,,
Westwood College-South Bay,CA,8,1,1,,,441,0,0,142,,,,
Wharton County Junior College,TX,6,2,1,12639,11871,7152,,,,,,,
Whatcom Community College,WA,8,2,1,26665,21430,4176,,,,,,,
Wheaton College,IL,3,1,1,43740,43740,2914,25,171,617,69,44,76,63
Wheaton College,MA,1,1,1,60263,60263,1587,0,0,376,67,18,61,71
Wheeling Jesuit University,WV,5,1,1,36600,36600,1575,47,130,226,69,27,73,65
Wheelock College,MA,1,1,1,49415,49415,1331,0,181,235,73,19,56,77
White Earth Tribal and Community College,MN,4,2,1,,,69,,,,,,,
White Mountains Community College,NH,1,2,1,,,845,,,,,,,
Whitman College,WA,8,1,1,58228,58228,1498,0,0,414,57,27,58,56
Whittier College,CA,8,1,1,56125,56125,2259,195,28,367,63,16,60,65
Whitworth University,WA,8,1,1,50329,50329,2654,0,61,539,65,23,65,64
Whitworth University-Adult Degree Programs,WA,8,1,1,,,328,0,0,78,,,,
Wichita Area Technical College,KS,4,2,1,,,3373,,,,,,,
Wichita State University,KS,4,1,1,28325,20291,14995,85,768,2124,96,42,96,96
Wichita Technical Institute,KS,4,2,1,,,1000,,,,,,,
Widener University-Delaware Campus,DE,2,1,1,,,742,246,38,11,,,,
Widener University-Harrisburg Campus,PA,2,1,1,,,330,118,24,0,,,,
Widener University-Main Campus,PA,2,1,1,56083,56083,4912,153,345,632,67,23,67,67
Wilberforce University,OH,3,1,1,27246,27246,387,0,5,103,58,8,58,59
Wiley College,TX,6,1,1,21376,21376,1351,0,0,176,,,,
Wilkes Community College,NC,5,2,1,,,2718,,,,,,,
Wilkes University,PA,2,1,1,48570,48570,4562,121,892,457,76,26,74,78
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,2,3,2,,,116,,,,59,42,83,57
Willamette University,OR,8,1,1,57046,57046,2780,125,201,384,58,12,57,58
William Carey University,MS,5,1,1,25500,25500,3936,81,509,579,49,48,60,43
William Jessup University,CA,8,1,1,39896,39896,1212,0,4,245,69,49,69,69
William Jewell College,MO,4,1,1,44830,44830,1060,0,0,274,58,31,62,62
William Mitchell College of Law,MN,4,1,1,,,665,291,0,0,,,,
William Moore College of Technology,TN,5,2,1,,,249,,,,,,,
William Paterson University of New Jersey,NJ,2,1,1,35580,27904,11048,10,287,2043,68,21,69,68
William Peace University,NC,5,1,1,40250,40250,1077,0,0,209,91,33,89,92
William Penn University,IA,4,1,1,35060,35060,1791,0,80,292,58,55,59,55
William T McFatter Technical Center,FL,5,2,2,,,1116,,,,,,,
William Woods University,MO,4,1,1,36140,36140,2031,7,564,232,75,31,66,78
Williams Baptist College,AR,5,1,1,25090,25090,560,0,0,109,68,43,66,70
Williams College,MA,1,1,1,64020,64020,2126,0,42,523,17,45,18,16
Williamsburg Technical College,SC,5,2,1,,,717,,,,,,,
Williamson Christian College,TN,5,1,1,,,72,0,0,8,,,,
Williston State College,ND,4,2,1,17147,16759,883,,,,,,,
Willoughby-Eastlake School of Practical Nursing,OH,3,3,2,,,99,,,,,,,
Wilmington College,OH,3,1,1,42412,42412,1200,0,3,301,46,16,46,46
Wilmington University,DE,2,1,1,,,14467,63,1655,1727,,,,
Wilson College,PA,2,1,1,37380,37380,771,0,25,85,53,32,47,53
Wilson Community College,NC,5,2,1,,,1777,,,,,,,
Windham Memorial Hospital-Radiologic Technology Program,CT,1,2,2,,,17,,,,,,,
Windham Technical High School,CT,1,3,2,,,16,,,,,,,
Windward Community College,HI,8,2,1,,,2661,,,,,,,
Winebrenner Theological Seminary,OH,3,1,1,,,64,3,13,0,,,,
Wingate University,NC,5,1,1,40700,40700,3034,93,136,371,79,15,75,82
Winona State University,MN,4,1,1,26400,20900,8684,0,110,1738,61,38,57,63
Winston Salem Barber School,NC,5,3,2,,,44,,,,,,,
Winston-Salem State University,NC,5,1,1,27050,17520,5220,25,134,1371,56,24,52,58
Winter Park Tech,FL,5,3,2,,,219,,,,,,,
Winthrop University,SC,5,1,1,39148,26222,6024,0,353,924,72,35,67,74
Wiregrass Georgia Technical College,GA,5,2,1,,,3629,,,,,,,
Wisconsin Academy,WI,3,2,2,,,28,,,,,,,
Wisconsin Indianhead Technical College,WI,3,2,1,,,3045,,,,,,,
Wisconsin Lutheran College,WI,3,1,1,37705,37705,1179,0,12,206,64,41,53,77
Wisconsin School of Professional Psychology,WI,3,1,1,,,91,10,14,0,,,,
Withlacoochee Technical Institute,FL,5,2,2,,,267,,,,,,,
Wittenberg University,OH,3,1,1,50562,50562,1964,0,6,391,89,12,88,91
Wofford College,SC,5,1,1,51504,51504,1658,0,0,379,69,22,65,72
Wolford College,FL,5,1,1,,,208,3,78,0,,,,
Won Institute of Graduate Studies,PA,2,1,1,,,94,0,16,0,,,,
Wood County School of Practical Nursing,WV,5,3,2,,,39,,,,100,100,,100
Wood Tobe-Coburn School,NY,2,2,1,,,411,,,,,,,
Woodbury University,CA,8,1,1,50236,50236,1588,0,157,268,56,24,73,43
Woodland Community College,CA,8,2,1,,,2554,,,,,,,
Woodrow Wilson Rehabilitation Center,VA,5,3,2,,,161,,,,52,100,47,65
Woodruff Medical Training and Testing,GA,5,3,2,,,127,,,,,,,
Woodward Beauty College,OK,6,3,2,,,39,,,,,,,
Wor-Wic Community College,MD,2,2,1,,,3104,,,,,,,
Worcester Polytechnic Institute,MA,1,1,1,59504,59504,6381,31,658,883,52,25,48,63
Worcester State University,MA,1,1,1,29696,23616,6350,0,262,986,61,31,58,62
Word of Life Bible Institute,NY,2,2,2,16225,16225,569,,,,,,,
World A Cuts Barber Institute,PA,2,3,2,,,,,,,,,,
World Medicine Institute,HI,8,1,1,,,49,0,23,0,,,,
World Mission University,CA,8,1,1,,,282,0,25,23,80,75,100,75
Worsham College of Mortuary Science,IL,3,2,1,,,108,,,,,,,
Wright Beauty Academy,MI,3,3,2,,,43,,,,,,,
Wright Beauty Academy,MI,3,3,2,,,56,,,,,,,
Wright Career College,KS,4,1,1,,,1391,0,0,2,,,,
Wright Career College-Omaha,NE,4,-3,-3,,,,,,,,,,
Wright State University-Lake Campus,OH,3,1,1,24710,16530,1147,0,0,84,,,,
Wright State University-Main Campus,OH,3,1,1,29910,21730,16842,177,1033,2177,,,,
Wyo Tech-Blairsville,PA,2,2,1,,,906,,,,,,,
Wyotech-Daytona,FL,5,2,1,,,400,,,,,,,
Wyotech-Fremont,CA,8,2,1,,,805,,,,,,,
Wyotech-Laramie,WY,7,2,1,,,1085,,,,,,,
Wyotech-Long Beach,CA,8,2,1,,,1136,,,,,,,
Wyotech-West Sacramento,CA,8,2,1,,,,,,,,,,
Wytheville Community College,VA,5,2,1,,,3302,,,,,,,
Xavier College School of Nursing,CA,8,3,2,,,58,,,,,,,
Xavier University,OH,3,1,1,47520,47520,6508,15,763,887,70,17,59,82
Xavier University of Louisiana,LA,5,1,1,33222,33222,2976,159,58,322,54,26,33,70
Xenon International Academy-Denver,CO,7,2,2,,,62,,,,,,,
Xenon International Academy-Omaha,NE,4,2,2,,,230,,,,,,,
Xenon International Academy-Wichita,KS,4,3,2,,,171,,,,,,,
Yahweh Beauty Academy,TX,6,3,2,,,30,,,,,,,
Yakima Valley Community College,WA,8,1,1,16476,16008,3950,0,0,0,,,,
Yale University,CT,1,1,1,63970,63970,12336,742,1589,1344,7,66,8,6
Yale-New Haven Hospital Dietetic Internship,CT,1,1,2,,,12,0,0,0,,,,
Yavapai College,AZ,6,2,1,20048,13856,7842,,,,,,,
Yechanlaz Instituto Vocacional,FL,5,3,2,,,57,,,,,,,
Yeshiva and Kollel Harbotzas Torah,NY,2,1,1,,,52,0,0,1,,,,
Yeshiva College of the Nations Capital,MD,2,1,1,19200,19200,35,0,0,2,,,,
Yeshiva D'monsey Rabbinical College,NY,2,1,1,14200,14200,60,0,0,11,100,100,100,
Yeshiva Derech Chaim,NY,2,1,1,18400,18400,151,8,0,11,100,100,100,
Yeshiva Gedolah Imrei Yosef D'spinka,NY,2,1,1,,,122,0,0,26,,,,
Yeshiva Gedolah Kesser Torah,NY,2,1,1,,,67,0,0,1,100,100,100,
Yeshiva Gedolah of Greater Detroit,MI,3,1,1,14400,14400,70,0,1,3,100,100,100,
Yeshiva Gedolah Zichron Leyma,NJ,2,1,1,18200,18200,28,0,0,11,100,100,100,
Yeshiva Karlin Stolin,NY,2,1,1,15700,15700,113,0,0,14,100,76,100,
